created_at,tweet_text,cleaned_text,sentiment_score
2023-04-18 21:48:31+00:00,Why India is so important to Apple @CNBC $AAPL https://t.co/SAm58dP560,why india is so important to apple  $aapl ,0.3327
2023-04-18 21:44:35+00:00,New Apple Health-compatible Withings scale offers weight &amp; body composition analysis https://t.co/Feo2Lwk5cW $AAPL https://t.co/rlgWr66VBP,new apple health-compatible withings scale offers weight &amp; body composition analysis  $aapl ,0.0
2023-04-18 21:42:55+00:00,"Saying this b/c I'm currently looking at prices of Analog Devices $ADI, Apple $AAPL, Visa Inc &amp; CDW Corp

Need someone to explain why these current elevated price levels are sustainable in 2023

When these prices weren't sustainable in 2021 and 2022","saying this b/c i'm currently looking at prices of analog devices $adi, apple $aapl, visa inc &amp; cdw corp

need someone to explain why these current elevated price levels are sustainable in 2023

when these prices weren't sustainable in 2021 and 2022",0.0
2023-04-18 21:26:35+00:00,Apple's new India BKC store opening was met by massive crowds https://t.co/fd97HjvO8N $AAPL https://t.co/hcKBe5KMlx,apple's new india bkc store opening was met by massive crowds  $aapl ,0.0
2023-04-18 21:17:00+00:00,ðŸŸ¢ Why India is so important to Apple https://t.co/PmZCTXa6eN $AAPL,ðÿÿ¢ why india is so important to apple  $aapl,0.3327
2023-04-18 21:09:01+00:00,"$AAPL
 
Apple opens its first store location in India, while preparing apps for mixed-reality headset 
https://t.co/D5xmDAVSqs","$aapl
 
apple opens its first store location in india, while preparing apps for mixed-reality headset 
",0.0
2023-04-18 21:08:34+00:00,Nest Thermostat Gaining Apple HomeKit Support Starting Today via Matter https://t.co/ASRs4hVSHR $AAPL https://t.co/bbYkyZgzAD,nest thermostat gaining apple homekit support starting today via matter  $aapl ,0.6808
2023-04-18 21:03:37+00:00,$AAPL rising wedge and bearish divergence. Who tf is buying Apple when theyâ€™re offering BNPL to keep sales up to the poors? https://t.co/dh80ZYPuMc,$aapl rising wedge and bearish divergence. who tf is buying apple when theyâ€™re offering bnpl to keep sales up to the poors? ,0.0
2023-04-18 21:01:00+00:00,"ðŸŸ¢ Apple opens its first store location in India, while preparing apps for mixed-reality headset https://t.co/CsHbEeEJde $AAPL","ðÿÿ¢ apple opens its first store location in india, while preparing apps for mixed-reality headset  $aapl",0.0
2023-04-18 20:48:18+00:00,$AAPL NEW ARTICLE : Apple's Next Growth Chapter Is Here https://t.co/Tl62schCf7 https://t.co/1nRAHRwJFl,$aapl new article : apple's next growth chapter is here  ,0.3818
2023-04-18 20:21:22+00:00,I got receipts. $AAPL there is no way we still have wallets in the future so why would Apple be the middle man https://t.co/l2aicFCSvI,i got receipts. $aapl there is no way we still have wallets in the future so why would apple be the middle man ,-0.296
